Severity	Code	Description	Project	File	Line	Suppression State
Error (active)	CS1061	'ProductDto' does not contain a definition for 'ProductCategory' and no accessible extension method 'ProductCategory' accepting a first argument of type 'ProductDto' could be found (are you missing a using directive or an assembly reference?)	EImece	C:\Users\eminy\source\repos\eminyuce\EImece\EImece\EImece\Controllers\ProductsController.cs	99	
Error (active)	CS0029	Cannot implicitly convert type 'EImece.Domain.Models.DTOs.ProductDto' to 'EImece.Domain.Entities.Product'	EImece	C:\Users\eminy\source\repos\eminyuce\EImece\EImece\EImece\Areas\Admin\Controllers\ProductsController.cs	42	
Error (active)	CS0029	Cannot implicitly convert type 'EImece.Domain.Models.DTOs.ProductDto' to 'EImece.Domain.Entities.Product'	EImece	C:\Users\eminy\source\repos\eminyuce\EImece\EImece\EImece\Areas\Admin\Controllers\ProductsController.cs	58	
Error (active)	CS0029	Cannot implicitly convert type 'EImece.Domain.Entities.Customer' to 'EImece.Domain.Models.DTOs.CustomerDto'	EImece	C:\Users\eminy\source\repos\eminyuce\EImece\EImece\EImece\Areas\Customers\Controllers\HomeController.cs	239	
Error (active)	CS0029	Cannot implicitly convert type 'System.Collections.Generic.List<EImece.Domain.Entities.Order>' to 'System.Collections.Generic.List<EImece.Domain.Models.DTOs.OrderDto>'	EImece	C:\Users\eminy\source\repos\eminyuce\EImece\EImece\EImece\Areas\Customers\Controllers\HomeController.cs	239	
Error (active)	CS0104	'Convert' is an ambiguous reference between 'EImece.Domain.Helpers.Convert' and 'System.Convert'	EImece	C:\Users\eminy\source\repos\eminyuce\EImece\EImece\EImece\Controllers\BaseController.cs	118	
Error (active)	CS1929	'ProductDto' does not contain a definition for 'GetSeoUrl' and the best extension method overload 'EntityExtension.GetSeoUrl(BaseEntity)' requires a receiver of type 'BaseEntity'	EImece	C:\Users\eminy\source\repos\eminyuce\EImece\EImece\EImece\Controllers\PaymentController.cs	637	
Error (active)	CS0246	The type or namespace name 'ProductDto' could not be found (are you missing a using directive or an assembly reference?)	EImece	C:\Users\eminy\source\repos\eminyuce\EImece\EImece\EImece\Controllers\ProductCategoriesController.cs	91	
Error (active)	CS0029	Cannot implicitly convert type 'System.Collections.Generic.List<EImece.Domain.Models.DTOs.ProductDto>' to 'System.Collections.Generic.List<ProductDto>'	EImece	C:\Users\eminy\source\repos\eminyuce\EImece\EImece\EImece\Controllers\ProductCategoriesController.cs	92	
Error (active)	CS0246	The type or namespace name 'ProductDto' could not be found (are you missing a using directive or an assembly reference?)	EImece	C:\Users\eminy\source\repos\eminyuce\EImece\EImece\EImece\Controllers\ProductCategoriesController.cs	93	
Error (active)	CS1503	Argument 1: cannot convert from 'System.Collections.Generic.List<EImece.Domain.Models.DTOs.ProductDto>' to 'System.Collections.Generic.IEnumerable<ProductDto>'	EImece	C:\Users\eminy\source\repos\eminyuce\EImece\EImece\EImece\Controllers\ProductCategoriesController.cs	98	
Error (active)	CS0029	Cannot implicitly convert type 'System.Collections.Generic.List<ProductDto>' to 'System.Collections.Generic.List<EImece.Domain.Models.DTOs.ProductDto>'	EImece	C:\Users\eminy\source\repos\eminyuce\EImece\EImece\EImece\Controllers\ProductCategoriesController.cs	102	
Error (active)	CS1061	'ProductDto' does not contain a definition for 'ProductCategory' and no accessible extension method 'ProductCategory' accepting a first argument of type 'ProductDto' could be found (are you missing a using directive or an assembly reference?)	EImece	C:\Users\eminy\source\repos\eminyuce\EImece\EImece\EImece\Controllers\ProductsController.cs	101	
Error (active)	CS1929	'ProductDto' does not contain a definition for 'GetSeoUrl' and the best extension method overload 'EntityExtension.GetSeoUrl(BaseEntity)' requires a receiver of type 'EImece.Domain.Entities.BaseEntity'	EImece	C:\Users\eminy\source\repos\eminyuce\EImece\EImece\EImece\Controllers\ProductsController.cs	104	
Error (active)	CS1929	'ProductDto' does not contain a definition for 'GetSeoUrl' and the best extension method overload 'EntityExtension.GetSeoUrl(BaseEntity)' requires a receiver of type 'EImece.Domain.Entities.BaseEntity'	EImece	C:\Users\eminy\source\repos\eminyuce\EImece\EImece\EImece\Controllers\ProductsController.cs	107	
Error (active)	CS1503	Argument 1: cannot convert from 'EImece.Domain.Models.DTOs.ProductDto' to 'EImece.Domain.Entities.BaseEntity'	EImece	C:\Users\eminy\source\repos\eminyuce\EImece\EImece\EImece\Controllers\ProductsController.cs	108	
Error (active)	CS0006	Metadata file 'C:\Users\eminy\source\repos\eminyuce\EImece\EImece\EImece\bin\EImece.dll' could not be found	EImece.MyConsole	C:\Users\eminy\source\repos\eminyuce\EImece\EImece\EImece.MyConsole\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\eminy\source\repos\eminyuce\EImece\EImece\EImece\bin\EImece.dll' could not be found	EImece.Tests	C:\Users\eminy\source\repos\eminyuce\EImece\EImece\EImece.Tests\CSC	1	
